ticker,AAPL,ACI,AEP,AGIO,AMAT,APA,APTV,ASML,AVGO,BAP,BATT.AS,BBVA.MC,BCS,BND,BOTZ.L,C,CIB,COIN,CSIQ,DAR,DUK,EXC,FLOA.L,FSLR,GC=F,GILD,GIS,GOOGL,HCA,ING,INGR,JKS,JPY=X,KMB,LEVI,MA,MAXN,MC.PA,MMM,MO,MSFT,MXN=X,NEE,NVDA,PANW,PCG,PEP,PLTR,QCOM,SDIA.L,SHELL.AS,SMFG,SPY,SQM,TSM,V,VBTC.DE,VHYD.L,VWO,WMT,YPF,YUM,YUMC,^VIX
MC.PA,0.9477020486838534,0.5083854639315118,0.8998881704792301,-0.5089451648468615,0.930087651044112,-0.5945761704740913,0.7043136268215209,0.965825086966204,0.6875287293673674,0.6325397128514579,0.9083734487784463,0.17078529623710587,-0.40979764729686213,0.7487713870023432,0.10867331320808327,-0.35912187334240453,0.3530431094936353,-0.20053022834652895,0.49071219670235844,0.8986398115914348,0.9037994265139998,0.8209099950788735,0.558410492655833,0.3176200184409871,0.7637810362308965,0.6984687424684345,0.8938472826019811,0.9343301990367565,0.9053585902953842,0.058411530425948495,0.7501474620400783,0.6391479280945823,0.6618755037501699,0.8601430762940688,0.25780495796802366,0.9344151474318364,0.04796928504235234,1.0,0.6259396259438714,0.7658453921885099,0.9340891406463774,0.7152041610747322,0.9500725326295767,0.647656614317574,0.8025398458889326,-0.5002941506143062,0.9611972056933917,-0.35938310051035227,0.9328050914594695,0.6459753932621727,0.6963524386586377,-0.10200649849526451,0.9357047945203241,0.8011297065397811,0.8700779011677774,0.9177106450736267,-0.26644148337710666,0.8592691983549726,0.8119281629928691,0.8555437138489623,-0.5177448626140744,0.9480672277039802,0.6607819091846279,-0.015655460860318292
MMM,0.7109022304957491,-0.21119580073606084,0.9336088264667894,0.23938625406078493,0.7049739784888844,0.41715847294410674,0.5804307722120685,0.6671639592550295,0.44606523047409324,0.9298743800994742,-0.13564634048135032,-0.009039766848517612,0.17223501031822386,0.8410089066296557,0.5831792219817074,0.025984574097637037,0.7326594514294908,0.7511314770857402,0.32299013348035704,0.654497251999631,0.9254081531337901,0.8503749617204766,0.038027468302879903,-0.21938714948078128,0.7090416047420675,0.9042087173302468,0.9036000116534609,0.6919736222901884,0.46988921160944325,0.09364587110333362,0.9201711640395751,0.28049909965781794,0.18965212599449838,0.948811899127105,0.5823051702510833,0.6954504267856206,-0.2094253915354523,0.6259396259438714,1.0,0.9569694979177609,0.7008976209544221,0.8814971704687751,0.8563471891592023,0.4531759019653126,0.27596697701982215,0.6418340050459307,0.9048508564826552,0.6215094941812016,0.7767138827534462,-0.0038226357983028435,0.5281961193224266,-0.2518126239043397,0.8193396658076906,0.6789976741682732,0.6816589772848867,0.6937991135561731,0.644316312028969,0.37908396070847444,0.7639048839526662,0.8483651188937509,0.1467974076468696,0.8445691246148782,-0.11474901148309849,-0.13081706374021476
MO,0.8321214498665287,0.5119743518889708,0.9620898739247217,-0.1758444697327924,0.8085068174923783,0.34234112250979093,0.43749692950459995,0.7870722768512975,0.7389932524470275,0.9229504085846809,0.5563546319856222,0.15885287651844063,0.07999773105650768,0.8254405268693242,0.5361449349814861,-0.09796764526430511,0.7408136385838852,0.4441781355648702,0.2661893291831046,0.7230070787992527,0.964122904392244,0.8585279070965511,0.8543116814826731,-0.0054008359176646046,0.8310635853713716,0.9531902718737364,0.9471781400677752,0.8409332993016158,0.8015085433513088,0.11662564292108543,0.9851655161165787,0.3264155121917979,0.3563986598437334,0.964591952046218,0.19202563364470912,0.8384472634691416,-0.6960620468034006,0.7658453921885099,0.9569694979177609,1.0,0.8182613514934346,0.8669933596898586,0.9067449961734266,0.6317682705529132,0.7676510734829218,0.567740738867152,0.9432866327045499,0.8382381615629431,0.8524166999265439,0.5463715206956931,0.6922898594498191,-0.18160921381793982,0.9079976119965033,0.7666495467777299,0.7994861779056928,0.8482528602593958,0.8129230192315593,0.7909742402171035,0.7850653468064236,0.9067128751826325,0.13396817323740098,0.9266419626385877,-0.05790714185148055,-0.12826801217095138
MSFT,0.9882291891594173,0.5619926092463208,0.9019479628815543,-0.48235465097704,0.9827199066243913,0.0076046028879437465,0.5165697277667196,0.9791715443763843,0.8938946636773852,0.6642567740688994,0.8177732346978951,0.37608688298001774,0.05769872271615627,0.7063483410834516,0.800343359976864,-0.144404945157149,0.48661644337485294,0.5743440815479053,0.3259800472247531,0.8035631668060557,0.8955143924313663,0.796103134865892,0.9254978957793358,0.3936770417178824,0.8047864100969861,0.7573333210236757,0.8322977036152757,0.9849761666036264,0.975362035295994,0.25008402840770255,0.7750156746862229,0.4949618221573311,0.5898447807566678,0.8363187022496325,0.200976858959701,0.9721424826653532,-0.7840247392176454,0.9340891406463774,0.7008976209544221,0.8182613514934346,1.0,0.6708954508318323,0.9286382270744966,0.8567514984042149,0.9558268005123987,-0.04019247571904738,0.8986867500827954,0.6791775615664886,0.9409755151446412,0.8926336035282532,0.7637973183726853,0.048621884241377165,0.9713921616885032,0.727820481760759,0.9737504061680675,0.9626793654322012,0.7963437467208986,0.9565458863384314,0.7940333913334248,0.9503384380842059,-0.026678651806091275,0.9185436907515123,0.40939294443007335,-0.015684577438025045
MXN=X,0.6870971714191677,-0.4704391409748146,0.8676388507315741,-0.15342944877893167,0.6232274322883842,-0.7261594061345933,0.6333101059100011,0.6663025867069262,0.41572222656026636,0.8049356276094373,-0.27265024871269333,-0.20217163834614066,-0.6644820750385527,0.8857589911414747,0.0006178097208925819,-0.5595751474301198,0.3803560257788304,0.2640789921699556,0.3293185097690385,0.6409320673895235,0.846440917446116,0.5343065150185563,-0.31860986528261936,-0.16323546662123853,0.6526807969689062,0.7754604894061475,0.8335076076080008,0.7259944967913843,0.5414760517843237,-0.24424149606458942,0.8322367479077754,0.38590860064744964,0.42148749650061984,0.9035489549011827,-0.10134737776168065,0.7567393482284844,0.165544491540546,0.7152041610747322,0.8814971704687751,0.8669933596898586,0.6708954508318323,1.0,0.8379350928274442,0.39524455127307956,0.3631585196930652,-0.1362656498429872,0.8241633596339774,0.08778504268776839,0.682762607781418,0.11981644020638405,0.4350719490434724,-0.4079174782018267,0.763305455315886,0.5844995093701064,0.6560864302964805,0.7545702108512606,0.10889753854838154,0.3844083636302664,0.6798573358679944,0.6904907352588351,-0.6136369651777822,0.8245680309554393,0.11487188963488704,0.09968358416642119
NEE,0.9414349869614799,0.19686063895209313,0.9687098598972327,-0.4812164903892396,0.9066772848861546,0.18766273858972746,0.7425663554131299,0.9302866841832184,0.6866247123499836,0.7895391285235416,0.8315524220696066,0.09338166450172918,0.0236512911538881,0.8446831652084318,0.07048238941502478,-0.08278172463755766,0.580828313955659,0.13518698250557726,0.5093647986701532,0.9022079299324878,0.9552441045706395,0.8598582309719641,0.5326462845931446,0.21551006708147416,0.80361742756593,0.8362954730630978,0.930784448820846,0.9340940021626005,0.8897277440718079,0.11954654391140045,0.8400797501243836,0.6610127461732763,0.43358234605705037,0.9348540302070841,0.30732277445445644,0.953752638332368,0.12843366912018928,0.9500725326295767,0.8563471891592023,0.9067449961734266,0.9286382270744966,0.8379350928274442,1.0,0.6410766274000923,0.7682545996904669,0.26398969069854294,0.9665197715593447,0.053567313956197675,0.942441533498272,0.7703406845847429,0.6458531518612128,-0.154260013317301,0.9595379220324379,0.8321440357038216,0.8892115347936181,0.9459645842156652,0.05488822798984159,0.8478789153925494,0.838229346667244,0.924719086007499,-0.08140282268491576,0.9681356940594156,0.6840497996050899,-0.008526578696190334
NVDA,0.8224925925639163,0.35811681392674893,0.6739742632127846,-0.29844823153243233,0.8506203622616145,-0.2544325639510521,0.10577412783135924,0.7812677064417459,0.9791995875750273,0.4869274512021357,0.5357686974455638,0.6524025331263237,-0.03285233314361368,0.4351592553501211,0.7273614593548356,-0.20234920959863353,0.39018904005735927,0.55509386276671,-0.012876064484907194,0.4432335391154911,0.698661971744994,0.6388302135469415,0.9553867542609263,0.47008507974019736,0.7126151243480978,0.58686662613208,0.5578146253077154,0.8262149899463642,0.8459743568705701,0.3440773434099044,0.6361946859103572,0.15426100845417548,0.6388461018044582,0.5864900600524611,0.1347574672354386,0.7854722800765068,-0.7792050106989409,0.647656614317574,0.4531759019653126,0.6317682705529132,0.8567514984042149,0.39524455127307956,0.6410766274000923,1.0,0.9259743094763835,-0.21874640148812247,0.6331904611718704,0.7785780369260816,0.7672012723361393,0.8051240899702637,0.7528467777349286,0.2767011595660072,0.8122018585547218,0.41713313750011843,0.9017137541527587,0.7770957812828343,0.8497707756415616,0.8595858885407194,0.6055712016775293,0.888977904558792,0.12364480875580176,0.6908192615183953,0.07877806142946961,-0.0869755705333318
PANW,0.9462884150495962,0.578967222272762,0.8321570656757659,-0.40375999031321086,0.9334270629747601,-0.4858191779989172,0.28999497792759465,0.8917173646853532,0.9439618232419162,0.40128510292445196,0.699891581073145,0.7285704455258218,0.29728445647041646,0.5219176777838839,0.6927543695512071,0.6313626306279724,0.24043382668858326,0.3877337171582303,0.04811262034243045,0.5342233203830398,0.9026750183981235,0.8662491218807968,0.959940268574221,0.8708631706664831,0.8914760677623301,0.6790177115593661,0.7390362667012738,0.9427309016111086,0.9588323240604123,0.8154543477368841,0.7521548808758162,0.33130117835718353,0.8673285208356389,0.775768630738701,0.08861729046924208,0.9138369551643121,-0.78479975111777,0.8025398458889326,0.27596697701982215,0.7676510734829218,0.9558268005123987,0.3631585196930652,0.7682545996904669,0.9259743094763835,1.0,-0.5529846247158217,0.8224497217898064,0.6628219343342189,0.8774832163203566,0.8171310942106195,0.8200192357720103,0.7088620270824182,0.9533502422911344,0.5228001922814964,0.9384539933736583,0.9097560067088174,0.7361774390678171,0.937818618812762,0.745893218851441,0.9458255030880256,0.14556310345313755,0.8849001777731528,0.23461036667568805,0.12000714027306185
PCG,0.04938533096158637,0.48226958993493474,0.43792498873997293,0.49716666283643624,0.07911699090118876,0.7309012600514265,-0.5039880977211977,-0.2073227959360419,-0.4519542764100131,0.343605982005081,-0.36802390844343935,-0.09883597420548836,0.31879602579564337,-0.34526298668888356,0.3585837666703939,0.1403921466529037,0.4593796966013114,-0.08375396230186814,-0.33858800272669803,-0.12359805064322542,0.41145775741587276,0.52385763433415,-0.16798161588269764,-0.4033641506071361,0.031017120725293137,0.3790563370685128,0.4786864762079137,-0.4696146577384412,-0.6157987394930564,-0.0023503172267034765,0.2906235382705636,-0.46591853963562974,-0.3363211452657869,0.4753320940054042,-0.035746893236827386,-0.5895694946568687,-0.4923096042291689,-0.5002941506143062,0.6418340050459307,0.567740738867152,-0.04019247571904738,-0.1362656498429872,0.26398969069854294,-0.21874640148812247,-0.5529846247158217,1.0,0.4543415051452799,0.2309478231640024,0.015182130433056901,-0.6176020378126631,-0.27172984409475825,-0.10979686573788316,-0.0008131527964351332,0.13192222741272192,-0.24007310490324324,-0.5922360578076082,0.2991238248163152,-0.6220686031342515,-0.3367962786257859,0.3417240132492583,0.5367145545230436,-0.05040549809343371,-0.6514619053439954,-0.22982011519247525
PEP,0.902189061101576,0.6785718604568596,0.9834701981175638,-0.5235043429543971,0.88426069940147,0.357461939853358,0.6740352653775531,0.9136256248400452,0.6950991397224285,0.8334972673961761,0.823522433833047,0.11757715093492122,0.1288702193063868,0.8218408368176979,-0.24242391399177335,0.012889796117428423,0.6438430239628572,-0.5791851276986165,0.47852295525912564,0.8732785582606303,0.9818774433721871,0.9232638325334559,0.6252082320909661,0.221859442476434,0.8164777288030705,0.8892282499354673,0.9827196362068968,0.9316151710199557,0.9162970899799904,0.1470990327793484,0.8938856172916602,0.6195642621727395,0.43931575638602255,0.9764141611425831,-0.01048649310331447,0.9453561919930517,-0.222555636715154,0.9611972056933917,0.9048508564826552,0.9432866327045499,0.8986867500827954,0.8241633596339774,0.9665197715593447,0.6331904611718704,0.8224497217898064,0.4543415051452799,1.0,-0.29734826781673196,0.9388197043494103,0.6447149689264139,0.7079135345079482,-0.16045259340345358,0.9581032065144418,0.8612111667614866,0.85452626420559,0.9392225638290452,-0.28757661959541914,0.8620670955222585,0.8165929291052648,0.9303852135708132,0.02400726711948608,0.981334947844341,0.5425268033669054,-0.044530759419207935
